tellement;4;9;754
suivi;4;5;755
suivaient;4;9;756
soulevait;4;9;757
souffrait;4;9;758
sorti;4;5;759
sortait;4;7;760
soldats;4;7;761
sol;4;3;762
silencieux;4;10;763
seuls;4;5;764
servait;4;7;765
semblaient;4;10;766
sauvage;4;7;767
révolte;4;8;768
répétant;4;10;769
roulement;4;9;770
risquer;4;7;771
riaient;4;7;772
retrouva;4;8;773
rester;4;6;774
restaient;4;9;775
reprendre;4;9;776
relais;4;6;777
recette;4;7;778
rapprochaient;4;13;779
rancune;4;7;780
qu'à;4;5;781
qu'elles;4;8;782
qu'Etienne;4;10;783
pâtissier;4;10;784
put;4;3;785
prêt;4;5;786
présent;4;8;787
première;4;9;788
poussée;4;8;789
poussé;4;7;790
poussaient;4;10;791
possible;4;8;792
portes;4;6;793
plaisanterie;4;12;794
peux;4;4;795
persiennes;4;10;796
perdu;4;5;797
pente;4;5;798
pelle;4;5;799
payer;4;5;800
pauvre;4;6;801
passait;4;7;802
nouvelle;4;8;803
notre;4;5;804
n'est-ce;4;8;805
n'avaient;4;9;806
mépris;4;7;807
méchants;4;9;808
mère;4;5;809
murs;4;4;810
mots;4;4;811
morte;4;5;812
morceau;4;7;813
mit;4;3;814
mine;4;4;815
militaire;4;9;816
mettait;4;7;817
maîtres;4;8;818
mauvais;4;7;819
marcher;4;7;820
magasin;4;7;821
m'en;4;4;822
m'a;4;3;823
lorsqu'un;4;9;824
lieu;4;4;825
lettre;4;6;826
lança;4;6;827
l'ordre;4;7;828
l'horizon;4;9;829
l'homme;4;7;830
l'eau;4;5;831
l'après-midi;4;13;832
joie;4;4;833
jeté;4;5;834
jeta;4;4;835
immense;4;7;836
ici;4;3;837
hâta;4;5;838
hurlant;4;7;839
houille;4;7;840
hors;4;4;841
haveur;4;6;842
haute;4;5;843
gêne;4;5;844
guenilles;4;9;845
grisou;4;6;846
goût;4;5;847
gourde;4;6;848
glace;4;5;849
gentil;4;6;850
garder;4;6;851
galopait;4;8;852
foyers;4;6;853
foutre;4;6;854
forçait;4;8;855
fièvre;4;7;856
fini;4;4;857
fin;4;3;858
facile;4;6;859
entra;4;5;860
ensuite;4;7;861
ensemble;4;8;862
emporté;4;8;863
effort;4;6;864
eaux;4;4;865
déserte;4;8;866
déjeuner;4;9;867
débordé;4;9;868
débattait;4;10;869
donné;4;6;870
donner;4;6;871
donnait;4;7;872
disparu;4;7;873
devaient;4;8;874
descendit;4;9;875
descendaient;4;12;876
davantage;4;9;877
d'où;4;5;878
d'hommes;4;8;879
d'Hippolyte;4;11;880
d'Etienne;4;9;881
cul;4;3;882
crut;4;4;883
criaient;4;8;884
crainte;4;7;885
courrier;4;8;886
coupait;4;7;887
coulant;4;7;888
corde;4;5;889
connaissait;4;11;890
compter;4;7;891
comprendre;4;10;892
colonne;4;7;893
collé;4;6;894
cochon;4;6;895
cocher;4;6;896
clameur;4;7;897
cheveux;4;7;898
cherchait;4;9;899
chaud;4;5;900
champs;4;6;901
chacune;4;7;902
chacun;4;6;903
celle;4;5;904
cause;4;5;905
cas;4;3;906
campagne;4;8;907
camarade;4;8;908
caché;4;6;909
cachait;4;7;910
bâtons;4;7;911
bâtiments;4;10;912
brûlaient;4;10;913
braves;4;6;914
